date;open;high;low;close;adj_close;volume
Jul 16, 2019;3,012.13;3,015.02;3,001.15;3,004.04;3,004.04;1,742,567,428
Jul 15, 2019;3,017.80;3,017.80;3,008.77;3,014.30;3,014.30;2,874,970,000
Jul 12, 2019;3,003.36;3,013.92;3,001.87;3,013.77;3,013.77;2,974,960,000
Jul 11, 2019;2,999.62;3,002.33;2,988.80;2,999.91;2,999.91;3,154,620,000
Jul 10, 2019;2,989.30;3,002.98;2,984.62;2,993.07;2,993.07;3,154,240,000
Jul 09, 2019;2,965.52;2,981.90;2,963.44;2,979.63;2,979.63;3,028,210,000
Jul 08, 2019;2,979.77;2,980.76;2,970.09;2,975.95;2,975.95;2,904,550,000
Jul 05, 2019;2,984.25;2,994.03;2,967.97;2,990.41;2,990.41;2,434,210,000
Jul 03, 2019;2,978.08;2,995.84;2,977.96;2,995.82;2,995.82;1,963,720,000
Jul 02, 2019;2,964.66;2,973.21;2,955.92;2,973.01;2,973.01;3,206,840,000
Jul 01, 2019;2,971.41;2,977.93;2,952.22;2,964.33;2,964.33;3,513,270,000
Jun 28, 2019;2,932.94;2,943.98;2,929.05;2,941.76;2,941.76;5,420,700,000
Jun 27, 2019;2,919.66;2,929.30;2,918.57;2,924.92;2,924.92;3,122,920,000
Jun 26, 2019;2,926.07;2,932.59;2,912.99;2,913.78;2,913.78;3,478,130,000
Jun 25, 2019;2,945.78;2,946.52;2,916.01;2,917.38;2,917.38;3,578,050,000
Jun 24, 2019;2,951.42;2,954.92;2,944.05;2,945.35;2,945.35;3,136,250,000
Jun 21, 2019;2,952.71;2,964.15;2,946.87;2,950.46;2,950.46;5,000,120,000
Jun 20, 2019;2,949.60;2,958.06;2,931.50;2,954.18;2,954.18;3,905,940,000
Jun 19, 2019;2,920.55;2,931.74;2,911.43;2,926.46;2,926.46;3,287,890,000
Jun 18, 2019;2,906.71;2,930.79;2,905.44;2,917.75;2,917.75;3,437,620,000
Jun 17, 2019;2,889.75;2,897.27;2,887.30;2,889.67;2,889.67;2,810,140,000
Jun 14, 2019;2,886.82;2,894.45;2,879.62;2,886.98;2,886.98;2,922,330,000
Jun 13, 2019;2,886.24;2,895.24;2,881.99;2,891.64;2,891.64;3,069,810,000
Jun 12, 2019;2,882.73;2,888.57;2,874.68;2,879.84;2,879.84;3,034,130,000
Jun 11, 2019;2,903.27;2,910.61;2,878.53;2,885.72;2,885.72;3,548,420,000
Jun 10, 2019;2,885.83;2,904.77;2,885.51;2,886.73;2,886.73;3,209,210,000
Jun 07, 2019;2,852.87;2,884.97;2,852.87;2,873.34;2,873.34;3,220,250,000
Jun 06, 2019;2,828.51;2,852.10;2,822.45;2,843.49;2,843.49;3,396,410,000
Jun 05, 2019;2,818.09;2,827.28;2,800.92;2,826.15;2,826.15;3,548,830,000
Jun 04, 2019;2,762.64;2,804.49;2,762.64;2,803.27;2,803.27;3,810,430,000
Jun 03, 2019;2,751.53;2,763.07;2,728.81;2,744.45;2,744.45;3,943,810,000
May 31, 2019;2,766.15;2,768.98;2,750.52;2,752.06;2,752.06;3,981,020,000
May 30, 2019;2,786.94;2,799.00;2,776.74;2,788.86;2,788.86;3,273,790,000
May 29, 2019;2,790.25;2,792.03;2,766.06;2,783.02;2,783.02;3,700,050,000
May 28, 2019;2,830.03;2,840.51;2,801.58;2,802.39;2,802.39;4,121,410,000
May 24, 2019;2,832.41;2,841.36;2,820.19;2,826.06;2,826.06;2,887,390,000
May 23, 2019;2,836.70;2,836.70;2,805.49;2,822.24;2,822.24;3,891,980,000
May 22, 2019;2,856.06;2,865.47;2,851.11;2,856.27;2,856.27;3,192,510,000
May 21, 2019;2,854.02;2,868.88;2,854.02;2,864.36;2,864.36;3,218,700,000
May 20, 2019;2,841.94;2,853.86;2,831.29;2,840.23;2,840.23;3,288,870,000
May 17, 2019;2,858.60;2,885.48;2,854.23;2,859.53;2,859.53;3,257,950,000
May 16, 2019;2,855.80;2,892.15;2,855.80;2,876.32;2,876.32;3,338,060,000
May 15, 2019;2,820.38;2,858.68;2,815.08;2,850.96;2,850.96;3,125,950,000
May 14, 2019;2,820.12;2,852.54;2,820.12;2,834.41;2,834.41;3,322,720,000
May 13, 2019;2,840.19;2,840.19;2,801.43;2,811.87;2,811.87;3,894,030,000
May 10, 2019;2,863.10;2,891.31;2,825.39;2,881.40;2,881.40;3,529,600,000
May 09, 2019;2,859.84;2,875.97;2,836.40;2,870.72;2,870.72;3,638,820,000
May 08, 2019;2,879.61;2,897.96;2,873.28;2,879.42;2,879.42;3,485,790,000
May 07, 2019;2,913.03;2,913.03;2,862.60;2,884.05;2,884.05;3,767,100,000
May 06, 2019;2,908.89;2,937.32;2,898.21;2,932.47;2,932.47;3,181,520,000
May 03, 2019;2,929.21;2,947.85;2,929.21;2,945.64;2,945.64;3,338,120,000
May 02, 2019;2,922.16;2,931.68;2,900.50;2,917.52;2,917.52;3,778,890,000
May 01, 2019;2,952.33;2,954.13;2,923.36;2,923.73;2,923.73;3,645,850,000
Apr 30, 2019;2,937.14;2,948.22;2,924.11;2,945.83;2,945.83;3,919,330,000
Apr 29, 2019;2,940.58;2,949.52;2,939.35;2,943.03;2,943.03;3,118,780,000
Apr 26, 2019;2,925.81;2,939.88;2,917.56;2,939.88;2,939.88;3,248,500,000
Apr 25, 2019;2,928.99;2,933.10;2,912.84;2,926.17;2,926.17;3,425,280,000
Apr 24, 2019;2,934.00;2,936.83;2,926.05;2,927.25;2,927.25;3,448,960,000
Apr 23, 2019;2,909.99;2,936.31;2,908.53;2,933.68;2,933.68;3,635,030,000
Apr 22, 2019;2,898.78;2,909.51;2,896.35;2,907.97;2,907.97;2,997,950,000
Apr 18, 2019;2,904.81;2,908.40;2,891.90;2,905.03;2,905.03;3,506,850,000
Apr 17, 2019;2,916.04;2,918.00;2,895.45;2,900.45;2,900.45;3,602,300,000
Apr 16, 2019;2,912.26;2,916.06;2,900.71;2,907.06;2,907.06;3,402,210,000
Apr 15, 2019;2,908.32;2,909.60;2,896.48;2,905.58;2,905.58;3,088,330,000
Apr 12, 2019;2,900.86;2,910.54;2,898.37;2,907.41;2,907.41;3,688,490,000
Apr 11, 2019;2,891.92;2,893.42;2,881.99;2,888.32;2,888.32;2,938,540,000
Apr 10, 2019;2,881.37;2,889.71;2,879.13;2,888.21;2,888.21;3,062,380,000
Apr 09, 2019;2,886.58;2,886.88;2,873.33;2,878.20;2,878.20;3,007,980,000
Apr 08, 2019;2,888.46;2,895.95;2,880.78;2,895.77;2,895.77;3,054,030,000
Apr 05, 2019;2,884.16;2,893.24;2,882.99;2,892.74;2,892.74;3,146,820,000
Apr 04, 2019;2,873.99;2,881.28;2,867.14;2,879.39;2,879.39;3,015,180,000
Apr 03, 2019;2,876.09;2,885.25;2,865.17;2,873.40;2,873.40;3,550,240,000
Apr 02, 2019;2,868.24;2,872.90;2,858.75;2,867.24;2,867.24;3,246,900,000
Apr 01, 2019;2,848.63;2,869.40;2,848.63;2,867.19;2,867.19;3,500,760,000
Mar 29, 2019;2,828.27;2,836.03;2,819.23;2,834.40;2,834.40;3,740,700,000
Mar 28, 2019;2,809.40;2,819.71;2,798.77;2,815.44;2,815.44;3,158,170,000
Mar 27, 2019;2,819.72;2,825.56;2,787.72;2,805.37;2,805.37;3,372,930,000
Mar 26, 2019;2,812.66;2,829.87;2,803.99;2,818.46;2,818.46;3,266,050,000
Mar 25, 2019;2,796.01;2,809.79;2,785.02;2,798.36;2,798.36;3,376,580,000
Mar 22, 2019;2,844.52;2,846.16;2,800.47;2,800.71;2,800.71;4,237,200,000
Mar 21, 2019;2,819.72;2,860.31;2,817.38;2,854.88;2,854.88;3,546,800,000
Mar 20, 2019;2,831.34;2,843.54;2,812.43;2,824.23;2,824.23;3,771,200,000
Mar 19, 2019;2,840.76;2,852.42;2,823.27;2,832.57;2,832.57;3,620,220,000
Mar 18, 2019;2,822.61;2,835.41;2,821.99;2,832.94;2,832.94;3,552,190,000
Mar 15, 2019;2,810.79;2,830.73;2,810.79;2,822.48;2,822.48;5,962,730,000
Mar 14, 2019;2,810.38;2,815.00;2,803.46;2,808.48;2,808.48;3,469,730,000
Mar 13, 2019;2,799.78;2,821.24;2,799.78;2,810.92;2,810.92;3,766,150,000
Mar 12, 2019;2,787.34;2,798.32;2,786.73;2,791.52;2,791.52;3,414,230,000
Mar 11, 2019;2,747.61;2,784.00;2,747.61;2,783.30;2,783.30;3,749,030,000
Mar 08, 2019;2,730.79;2,744.13;2,722.27;2,743.07;2,743.07;3,423,130,000
Mar 07, 2019;2,766.53;2,767.25;2,739.09;2,748.93;2,748.93;3,904,860,000
Mar 06, 2019;2,790.27;2,790.27;2,768.69;2,771.45;2,771.45;3,786,600,000
Mar 05, 2019;2,794.41;2,796.44;2,782.97;2,789.65;2,789.65;3,585,690,000
Mar 04, 2019;2,814.37;2,816.88;2,767.66;2,792.81;2,792.81;3,919,810,000
Mar 01, 2019;2,798.22;2,808.02;2,787.38;2,803.69;2,803.69;3,972,280,000
Feb 28, 2019;2,788.11;2,793.73;2,782.51;2,784.49;2,784.49;4,396,930,000
Feb 27, 2019;2,787.50;2,795.76;2,775.13;2,792.38;2,792.38;3,767,130,000
Feb 26, 2019;2,792.36;2,803.12;2,789.47;2,793.90;2,793.90;3,645,680,000
Feb 25, 2019;2,804.35;2,813.49;2,794.99;2,796.11;2,796.11;3,804,380,000
Feb 22, 2019;2,780.67;2,794.20;2,779.11;2,792.67;2,792.67;3,427,810,000
Feb 21, 2019;2,780.24;2,781.58;2,764.55;2,774.88;2,774.88;3,559,710,000
Feb 20, 2019;2,779.05;2,789.88;2,774.06;2,784.70;2,784.70;3,835,450,000
Feb 19, 2019;2,769.28;2,787.33;2,767.29;2,779.76;2,779.76;3,533,710,000
Feb 15, 2019;2,760.24;2,775.66;2,760.24;2,775.60;2,775.60;3,641,370,000
Feb 14, 2019;2,743.50;2,757.90;2,731.23;2,745.73;2,745.73;3,836,700,000
Feb 13, 2019;2,750.30;2,761.85;2,748.63;2,753.03;2,753.03;3,670,770,000
Feb 12, 2019;2,722.61;2,748.19;2,722.61;2,744.73;2,744.73;3,827,770,000
Feb 11, 2019;2,712.40;2,718.05;2,703.79;2,709.80;2,709.80;3,361,970,000
Feb 08, 2019;2,692.36;2,708.07;2,681.83;2,707.88;2,707.88;3,622,330,000
Feb 07, 2019;2,717.53;2,719.32;2,687.26;2,706.05;2,706.05;4,099,490,000
Feb 06, 2019;2,735.05;2,738.08;2,724.15;2,731.61;2,731.61;3,472,690,000
Feb 05, 2019;2,728.34;2,738.98;2,724.03;2,737.70;2,737.70;3,560,430,000
Feb 04, 2019;2,706.49;2,724.99;2,698.75;2,724.87;2,724.87;3,359,840,000
Feb 01, 2019;2,702.32;2,716.66;2,696.88;2,706.53;2,706.53;3,759,270,000
Jan 31, 2019;2,685.49;2,708.95;2,678.65;2,704.10;2,704.10;4,917,650,000
Jan 30, 2019;2,653.62;2,690.44;2,648.34;2,681.05;2,681.05;3,857,810,000
Jan 29, 2019;2,644.89;2,650.93;2,631.05;2,640.00;2,640.00;3,504,200,000
Jan 28, 2019;2,644.97;2,644.97;2,624.06;2,643.85;2,643.85;3,612,810,000
Jan 25, 2019;2,657.44;2,672.38;2,657.33;2,664.76;2,664.76;3,814,080,000
Jan 24, 2019;2,638.84;2,647.20;2,627.01;2,642.33;2,642.33;3,433,250,000
Jan 23, 2019;2,643.48;2,653.19;2,612.86;2,638.70;2,638.70;3,335,610,000
Jan 22, 2019;2,657.88;2,657.88;2,617.27;2,632.90;2,632.90;3,908,030,000
Jan 18, 2019;2,651.27;2,675.47;2,647.58;2,670.71;2,670.71;3,986,730,000
Jan 17, 2019;2,609.28;2,645.06;2,606.36;2,635.96;2,635.96;3,772,270,000
Jan 16, 2019;2,614.75;2,625.76;2,612.68;2,616.10;2,616.10;3,863,770,000
Jan 15, 2019;2,585.10;2,613.08;2,585.10;2,610.30;2,610.30;3,572,330,000
Jan 14, 2019;2,580.31;2,589.32;2,570.41;2,582.61;2,582.61;3,664,450,000
Jan 11, 2019;2,588.11;2,596.27;2,577.40;2,596.26;2,596.26;3,434,490,000
Jan 10, 2019;2,573.51;2,597.82;2,562.02;2,596.64;2,596.64;3,704,500,000
Jan 09, 2019;2,580.00;2,595.32;2,568.89;2,584.96;2,584.96;4,052,480,000
